encoder,case_id,symbology,category,ec_level,encoding,pdf417_columns,status,detail,n_samples,n_trials_valid,validity_rate,median_ms,mean_ms,stddev_ms,min_ms,median_area_modules,median_file_bytes
opencv,qr-alnum-eclH,qr,alnum,H,,,ok,,100,5,1.0,10.5158,10.1462,1.2422,7.067,1089,2737
opencv,qr-alnum-eclH-svg,qr,alnum,H,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclL,qr,alnum,L,,,ok,,100,5,1.0,5.527,5.5531,0.3705,4.8606,625,1694
opencv,qr-alnum-eclL-svg,qr,alnum,L,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclM,qr,alnum,M,,,ok,,100,5,1.0,5.8591,6.5105,1.2839,4.8793,625,1700
opencv,qr-alnum-eclM-svg,qr,alnum,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclQ,qr,alnum,Q,,,ok,,100,5,1.0,8.3848,9.2612,1.8059,7.0701,841,2222
opencv,qr-alnum-eclQ-svg,qr,alnum,Q,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-base64_nc-eclM,qr,base64_near_capacity,M,,,ok,,100,5,1.0,339.2137,341.6788,9.86,324.7095,27225,54541
opencv,qr-base64_nc-eclM-svg,qr,base64_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-bcbp-eclM,qr,bcbp,M,,,ok,,100,5,1.0,13.3116,12.0409,3.8722,7.1452,1369,3309
opencv,qr-bcbp-eclM-svg,qr,bcbp,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-json_nc-eclM,qr,json_near_capacity,M,,,ok,,100,5,1.0,340.461,342.7875,11.5269,328.4942,27225,54633
opencv,qr-json_nc-eclM-svg,qr,json_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-kanji-eclM,qr,kanji,M,shift_jis,,ok,,100,5,1.0,13.8545,14.0057,3.739,7.3615,1369,3340
opencv,qr-kanji-eclM-auto,qr,kanji,M,,,ok,,100,5,1.0,13.9132,13.8788,3.5803,7.1798,1369,3340
opencv,qr-kanji-eclM-auto-svg,qr,kanji,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-kanji-eclM-svg,qr,kanji,M,shift_jis,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-latin1-eclM,qr,latin1,M,iso-8859-1,,ok,,100,5,1.0,14.1142,18.0559,5.5613,12.6216,1369,3298
opencv,qr-latin1-eclM-auto,qr,latin1,M,,,ok,,100,5,1.0,14.1419,17.7639,5.3206,12.7056,1369,3298
opencv,qr-latin1-eclM-auto-svg,qr,latin1,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-latin1-eclM-svg,qr,latin1,M,iso-8859-1,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-latin1_ambiguous-eclM,qr,latin1_ambiguous,M,iso-8859-1,,ok,,100,5,1.0,21.3309,19.8924,6.8988,10.0343,2025,4743
opencv,qr-latin1_ambiguous-eclM-auto,qr,latin1_ambiguous,M,,,ok,,100,5,1.0,21.2634,19.7033,6.5964,9.8741,2025,4743
opencv,qr-latin1_ambiguous-eclM-auto-svg,qr,latin1_ambiguous,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-latin1_ambiguous-eclM-svg,qr,latin1_ambiguous,M,iso-8859-1,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-mixed_modes-eclM,qr,mixed_modes,M,,,ok,,100,5,1.0,25.9092,23.9473,5.5624,16.0768,2401,5459
opencv,qr-mixed_modes-eclM-svg,qr,mixed_modes,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-near_capacity-eclH,qr,near_capacity,H,,,ok,,100,5,1.0,341.0571,342.9754,9.6258,325.9146,27225,54707
opencv,qr-near_capacity-eclH-svg,qr,near_capacity,H,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-near_capacity-eclL,qr,near_capacity,L,,,ok,,100,5,1.0,341.3368,342.5196,8.609,323.1091,27225,54398
opencv,qr-near_capacity-eclL-svg,qr,near_capacity,L,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-near_capacity-eclM,qr,near_capacity,M,,,ok,,100,5,1.0,338.8641,341.0254,7.2665,326.3522,27225,54544
opencv,qr-near_capacity-eclM-svg,qr,near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-near_capacity-eclQ,qr,near_capacity,Q,,,ok,,100,5,1.0,340.0662,341.4089,8.5269,327.2912,27225,54543
opencv,qr-near_capacity-eclQ-svg,qr,near_capacity,Q,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-numeric_long-eclM,qr,numeric_long,M,,,ok,,100,5,1.0,12.544,18.0684,9.7071,7.2896,1089,2716
opencv,qr-numeric_long-eclM-svg,qr,numeric_long,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-numeric_short-eclM,qr,numeric_short,M,,,ok,,100,5,1.0,6.2737,7.8436,2.6927,3.3889,441,1284
opencv,qr-numeric_short-eclM-svg,qr,numeric_short,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-text_para-eclM,qr,text_para,M,,,ok,,100,5,1.0,71.2607,66.3647,20.7607,34.0872,5929,12746
opencv,qr-text_para-eclM-svg,qr,text_para,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-url-eclM,qr,url,M,,,ok,,100,5,1.0,13.7467,13.8303,0.6441,12.6271,1369,3317
opencv,qr-url-eclM-svg,qr,url,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-url_nc-eclM,qr,url_near_capacity,M,,,ok,,100,5,1.0,339.2463,341.8312,10.0275,324.0623,27225,54754
opencv,qr-url_nc-eclM-svg,qr,url_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-utf8-eclM,qr,utf8,M,utf-8,,ok,,100,5,1.0,10.1333,9.318,1.4055,7.2226,1089,2740
opencv,qr-utf8-eclM-auto,qr,utf8,M,,,ok,,100,5,1.0,10.0829,9.3338,1.4604,7.0712,1089,2740
opencv,qr-utf8-eclM-auto-svg,qr,utf8,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-utf8-eclM-svg,qr,utf8,M,utf-8,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-xml_nc-eclM,qr,xml_near_capacity,M,,,ok,,100,5,1.0,340.8551,343.9651,12.3062,325.0161,27225,54870
opencv,qr-xml_nc-eclM-svg,qr,xml_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
pystrich,qr-alnum-eclH,qr,alnum,H,,,ok,,100,5,1.0,2.2184,2.311,0.2766,2.0365,1089,820
pystrich,qr-alnum-eclH-svg,qr,alnum,H,,,ok,,100,5,1.0,1.8339,1.8077,0.2376,1.3196,1089,12162
pystrich,qr-alnum-eclL,qr,alnum,L,,,ok,,100,5,1.0,1.5497,1.5882,0.1465,1.4017,625,553
